time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
49,2005-05-14 00:49,474,278,196,247,0,31,10,222,2.1351352,21,13,4.6618705,8,4.291367,112,138,10.651786,0,0,367,9,1.2915531,59,162,80,32,60,29,27,27,192,56,144,5,34,42,76,34,48,27,29,32,112,9,0.5801688,113,53,53,21,3,,,,4
50,2005-05-14 00:50,544,505,39,415,0,91,10,202,2.6930692,17,12,3.6772277,8,3.471287,137,172,12.817518,1,1,420,8,1.2952381,191,34,6,50,47,33,46,75,239,188,185,36,4,64,27,5,54,146,42,61,124,8,0.5808824,270,55,64,27,7,2,1,,1
51,2005-05-14 00:51,557,344,213,266,0,78,10,218,2.5550458,26,8,4.1511626,8,4.0610466,94,142,14.861702,0,0,413,8,1.3486683,63,177,139,21,104,24,82,23,259,55,181,5,35,39,37,35,78,7,48,35,146,5,0.64631957,141,60,59,35,18,1,,,
52,2005-05-14 00:52,381,359,22,248,0,112,10,174,2.189655,18,11,3.3426185,8,3.2144847,120,152,9.65,0,0,289,6,1.3183391,166,18,1,18,25,12,25,5,188,165,111,7,4,38,16,4,77,153,12,53,58,10,0.39895013,289,24,14,18,4,1,,1,1
53,2005-05-14 00:53,478,378,100,308,0,70,10,72,6.638889,24,8,5.1402116,8,5.0767198,83,198,23.120481,0,0,257,8,1.8599222,54,87,30,33,54,35,47,11,314,54,234,22,10,88,57,12,80,29,25,125,109,5,0.49372384,246,43,55,14,9,1,,,
54,2005-05-14 00:54,680,549,131,464,0,85,10,218,3.119266,22,10,5.5336976,8,5.1657557,112,272,25.321428,3,4,428,8,1.588785,69,124,103,148,60,120,105,11,470,69,383,18,6,31,20,6,87,44,25,89,294,6,1.0294118,232,63,135,78,24,5,2,,
55,2005-05-14 00:55,1830,1569,261,1509,0,105,10,364,5.0274725,19,12,6.030593,8,5.1555133,164,1102,50.493904,0,0,981,10,1.8654435,169,236,164,342,89,191,296,155,1266,157,1162,5,2,79,69,4,104,107,50,353,809,6,1.2836065,574,191,139,226,272,12,9,,
56,2005-05-14 00:56,1598,1538,60,1435,0,104,10,267,5.9850187,16,12,5.89987,8,5.046814,149,946,52.114094,0,0,949,8,1.6838777,107,59,17,244,403,310,294,71,1361,104,1224,2,0,38,34,0,137,56,48,130,1094,6,1.887985,324,286,102,517,210,20,6,,
57,2005-05-14 00:57,780,691,89,597,0,94,10,282,2.7659574,11,14,5.1374817,8,4.58466,147,361,21.55102,0,0,657,7,1.1872146,145,82,30,33,193,179,85,35,515,144,482,6,2,15,49,3,33,103,41,52,430,5,1.7269231,207,46,80,172,145,9,,,
58,2005-05-14 00:58,1483,1284,199,1204,0,121,10,349,4.249284,23,9,5.343458,8,4.8707166,142,613,45.471832,0,0,948,8,1.564346,92,191,132,323,169,183,250,364,831,81,749,0,5,77,41,5,82,42,39,175,574,7,1.1227242,305,91,205,198,37,36,38,2,
59,2005-05-14 00:59,929,869,60,775,0,94,10,400,2.3225,14,10,5.1438437,8,4.565017,159,384,24.949686,0,0,684,9,1.3581871,181,60,13,127,86,125,143,17,671,180,580,1,0,43,46,0,91,126,54,156,424,8,1.2831001,391,139,86,137,67,7,5,15,4
59,2005-05-14 01:00,1383,1253,130,1207,0,46,9,350,3.9514287,12,12,6.0718274,7,5.3735037,134,808,50.24627,0,0,1343,8,1.5681311,124,107,15,282,98,225,288,21,1110,124,1064,3,21,126,92,21,46,20,104,295,769,8,1.5068691,403,236,142,296,140,1,6,5,5
60,2005-05-14 01:00,1007,845,162,742,0,103,10,335,3.0059702,16,12,5.860355,8,5.0485206,135,497,31.6,0,0,786,10,1.2811705,83,98,74,118,238,212,281,35,727,80,667,26,64,53,19,64,60,48,32,81,586,7,1.898709,194,48,62,292,198,7,5,1,
61,2005-05-14 01:01,1142,1062,80,954,0,108,10,353,3.2351274,17,13,5.557439,7,5.165725,169,566,32.46154,1,4,748,8,1.5267379,174,65,32,30,258,294,67,94,796,173,687,53,13,82,29,13,109,112,61,217,470,7,1.237303,469,72,50,291,75,6,4,2,
62,2005-05-14 01:02,816,630,186,540,0,91,10,292,2.7945206,16,9,5.304762,8,4.9761906,143,338,21.95105,1,4,577,10,1.4142114,57,174,127,69,92,162,62,38,539,55,434,22,7,38,43,8,105,29,26,163,271,5,0.92156863,304,53,37,178,19,3,,,
63,2005-05-14 01:03,459,402,57,357,0,45,10,186,2.467742,18,8,3.9477613,8,3.7014925,130,146,11.446154,3,4,382,5,1.2015706,163,42,21,48,71,44,68,40,199,161,153,2,15,32,17,15,46,123,38,35,118,6,0.79520696,211,39,37,46,24,,3,,
64,2005-05-14 01:04,516,355,161,288,0,68,10,205,2.5170732,14,16,5.16338,9,4.4985914,113,168,14.176991,2,42,392,6,1.3163265,73,140,112,51,37,58,39,66,234,71,159,12,3,25,22,3,75,48,23,39,120,5,0.6511628,164,30,47,46,16,2,,,
65,2005-05-14 01:05,522,394,128,331,0,63,10,183,2.852459,18,17,4.8147206,9,3.9365482,118,149,13.144068,1,3,344,12,1.5174419,146,96,14,25,17,25,12,97,173,137,141,3,9,36,74,10,32,109,28,82,59,11,0.25478926,245,35,11,9,6,1,,,
66,2005-05-14 01:06,448,263,185,148,0,115,10,193,2.3212435,15,16,4.117871,10,3.8669202,94,177,10.819149,1,1,306,5,1.4640523,52,175,124,20,19,16,19,21,191,51,167,9,9,14,34,9,24,37,14,105,62,10,0.35714287,167,44,6,15,5,2,,,
67,2005-05-14 01:07,631,528,103,454,0,74,10,109,5.788991,18,16,5.068182,10,5.007576,95,246,27.83158,0,0,385,8,1.6389611,42,102,47,46,64,42,60,233,253,42,198,1,1,19,46,1,55,26,16,52,146,5,0.429477,135,93,36,19,11,1,,,
68,2005-05-14 01:08,824,783,41,639,0,145,10,442,1.8642534,13,11,4.7190294,8,4.521073,184,278,19.26087,2,54,692,6,1.1907514,158,39,5,55,21,42,21,395,231,157,158,1,1,33,34,1,73,146,11,58,100,8,0.30825242,280,41,34,17,7,2,,,7
69,2005-05-14 01:09,804,624,180,505,0,135,10,454,1.7709252,17,12,4.668269,9,4.269231,165,290,16.436363,2,42,557,6,1.443447,155,177,138,28,32,22,29,275,194,155,154,4,3,32,38,3,40,110,45,70,84,10,0.31716418,239,39,45,11,7,,1,,5
70,2005-05-14 01:10,274,226,48,161,0,65,10,136,2.014706,11,12,4.845133,8,4.5044246,126,78,8.079365,2,30,226,6,1.2123893,32,43,26,17,7,17,10,73,125,29,92,3,1,7,9,1,33,20,9,31,61,8,0.5218978,86,29,13,22,2,,1,,1
71,2005-05-14 01:11,644,450,194,397,0,53,10,391,1.6470588,14,18,4.826667,10,4.64,165,237,12.654546,1,47,520,7,1.2384615,65,185,134,31,26,30,27,38,351,63,318,2,5,40,49,5,33,44,19,41,277,14,0.66770184,123,244,23,10,4,1,,,
72,2005-05-14 01:12,737,698,39,586,0,112,10,507,1.4536489,14,10,5.0157595,10,4.743553,187,336,17.705883,2,8,614,6,1.2003257,163,32,3,36,24,102,38,34,505,162,417,26,3,32,25,3,88,136,26,31,386,12,0.97557664,256,236,65,102,6,,,,
73,2005-05-14 01:13,539,351,188,281,0,70,10,195,2.7641025,15,10,5.3333335,9,4.5014243,111,149,14.234234,0,0,389,7,1.3856041,65,158,112,59,73,50,73,43,245,63,195,3,28,45,41,28,50,24,39,47,148,7,0.75510204,137,36,81,28,10,13,1,2,
74,2005-05-14 01:14,447,401,46,337,0,64,9,200,2.235,9,11,4.63591,8,3.9501247,107,159,14.803739,0,0,389,3,1.1491003,152,44,28,19,65,19,63,31,218,146,164,1,2,98,13,2,54,110,36,73,91,8,0.6152125,243,39,44,19,12,4,,1,2
