time_bin,timestamp,vol_total_num,vol_ann_num,vol_wd_num,vol_origin0,vol_origin1,vol_origin2,vol_peer_num,vol_pfx_num,vol_pfx_avg,vol_pfx_max,path_len_max,path_len_avg,path_unq_len_max,path_unq_len_avg,AS_count,AS_count_max,AS_count_avg,AS_rare_max,AS_rare_sum,pp_num,pp_max,pp_avg,is_WA,is_AW,is_WAW,is_longer_path,is_shorter_path,is_longer_unq_path,is_shorter_unq_path,is_new,is_dup_ann,is_AWnA,is_imp_wd,is_WnA,is_AWn,is_AnW,is_WAn,is_dup_wd,is_dup,is_flap,is_NADA,is_imp_wd_spath,is_imp_wd_dpath,edit_dist_max,edit_dist_avg,ED_0,ED_1,ED_2,ED_3,ED_4,ED_5,ED_6,ED_7,ED_8
41,2021-10-04 07:21,107085,98333,8752,86394,7,12374,44,1925,55.62857,4903,19,4.172455,11,3.947322,728,28955,535.8558,1,27,13082,399,8.185675,4382,7149,383,11957,10628,11263,9679,1660,92352,4301,86711,994,1167,3963,6718,1542,5641,532,3769,59926,26785,17,0.5719942,67522,15106,7847,2920,1005,608,358,426,94
42,2021-10-04 07:22,86339,81953,4386,71021,7,11312,44,1912,45.15638,5165,19,4.1051335,12,3.8819323,881,21945,362.91034,1,18,8937,402,9.660849,2910,3211,327,9160,8182,8194,7791,1101,78041,2821,72676,637,739,2575,2814,1076,5365,392,2429,51169,21507,17,0.5709818,57878,11647,6213,2458,944,381,222,379,82
43,2021-10-04 07:23,114784,109437,5347,95568,20,14632,46,2261,50.76692,4860,29,4.305829,12,4.0910387,728,30235,620.62085,1,18,18763,402,6.117572,5359,3953,275,10765,12062,9797,10543,5206,99211,5110,93384,899,703,4680,3458,1055,5827,744,4366,63099,30285,27,0.5696961,72166,16921,8454,3191,1520,560,351,417,87
44,2021-10-04 07:24,136656,130309,6347,110793,5,20283,45,3304,41.360775,5166,21,4.421621,12,4.0842843,889,28759,602.88074,2,8,24242,400,5.637159,4245,4430,583,14500,14921,11291,12140,10658,115938,3807,108229,715,973,3679,3465,1385,7709,602,3205,67660,40569,17,0.63302016,77225,21561,11936,4596,1913,735,317,525,76
45,2021-10-04 07:25,89122,84862,4260,76682,28,8984,46,3465,25.720634,2894,18,4.2076197,12,3.9374866,1120,20668,301.1991,1,25,18792,244,4.74255,3511,3268,449,9699,10550,8908,9256,2017,79366,3451,73650,926,686,3120,2755,960,5716,599,2852,46900,26750,15,0.68398374,54181,14459,7928,2898,1140,599,207,530,132
46,2021-10-04 07:26,125687,116282,9405,102132,6,15001,45,2224,56.51394,4684,21,4.237509,11,3.986653,858,28401,544.486,2,42,18977,361,6.6231227,4767,7242,760,15584,13804,14826,13179,5749,105934,4642,100139,968,1409,4337,6290,1995,5795,490,4152,64733,35406,18,0.603714,72814,19121,10782,4155,1190,990,240,615,133
47,2021-10-04 07:27,118674,112771,5903,97518,109,16377,44,3892,30.491777,4828,20,4.2607317,12,3.8556278,1033,21316,426.16553,3,307,28995,368,4.0929127,3602,4059,552,16921,12514,16336,11647,14535,95290,3260,89581,650,738,3156,3198,1188,5709,508,2752,55073,34508,18,0.67272526,62269,18758,8441,3164,1715,2369,262,671,201
48,2021-10-04 07:28,90486,86856,3630,74282,6,12878,45,2434,37.175842,5359,25,4.0878005,13,3.828843,788,21517,423.75253,1,14,9918,403,9.123412,2740,2588,298,9167,9399,8346,8756,2092,82117,2658,76562,601,614,2369,2242,949,5555,477,2181,53347,23215,18,0.5680879,60293,13028,6739,1966,810,407,221,616,67
49,2021-10-04 07:29,115604,111529,4075,96168,9,15656,45,3185,36.29639,5030,27,3.885958,13,3.6030002,1135,27804,355.2837,1,63,25790,404,4.4825125,5893,2896,263,9219,15462,8464,15204,9048,96853,5579,90632,1370,601,4671,2442,914,6221,1006,4573,62384,28248,16,0.54496384,72376,16935,6892,2195,940,889,513,703,219
50,2021-10-04 07:30,108028,103907,4121,90798,45,13362,46,5353,20.180834,5179,27,4.2534094,13,3.9326224,2214,30323,185.18022,1,15,14785,390,7.3065944,3908,2813,406,9877,11497,9018,10022,3402,96839,3663,90865,687,731,3721,2214,1066,5974,450,3213,63214,27651,23,0.5797201,71035,15389,8064,2669,867,478,285,792,140
